"ID,""Descricao"",""ID_OCUPA_N"""
"352,""CRIADOR DE BUBALINOS (LEITE)"",""613125"""
"353,""CRIADOR DE EQUINOS"",""613130"""
"354,""CRIADOR DE CAPRINOS"",""613205"""
"355,""CRIADOR DE OVINOS"",""613210"""
"356,""CRIADOR DE SUINOS"",""613215"""
"357,""AVICULTOR"",""613305"""
"358,""CUNICULTOR"",""613310"""
"359,""APICULTOR"",""613405"""
"360,""CRIADOR DE ANIMAIS PRODUTORES DE VENENO"",""613410"""
"361,""MINHOCULTOR"",""613415"""
"362,""SERICULTOR"",""613420"""
"363,""SUPERVISOR DE EXPLORACAO AGRICOLA"",""620105"""
"364,""SUPERVISOR DE EXPLORACAO AGROPECUARIA"",""620110"""
"365,""SUPERVISOR DE EXPLORACAO PECUARIA"",""620115"""
"366,""TRABALHADOR AGROPECUARIO EM GERAL"",""621005"""
"367,""CASEIRO (AGRICULTURA)"",""622005"""
"368,""JARDINEIRO"",""622010"""
"369,""TRABALHADOR NA PRODUCAO DE MUDAS E SEMENTES"",""622015"""
"370,""TRABALHADOR VOLANTE DA AGRICULTURA"",""622020"""
"371,""TRABALHADOR DA CULTURA DE ARROZ"",""622105"""
"372,""TRABALHADOR DA CULTURA DE CANA-DE-ACUCAR"",""622110"""
"373,""TRABALHADOR DA CULTURA DE MILHO E SORGO"",""622115"""
"374,""TRABALHADOR DA CULTURA DE TRIGO, AVEIA, CEVADA E T"",""622120"""
"375,""TRABALHADOR DA CULTURA DE ALGODAO"",""622205"""
"376,""TRABALHADOR DA CULTURA DE SISAL"",""622210"""
"377,""TRABALHADOR DA CULTURA DO RAMI"",""622215"""
"378,""TRABALHADOR NA OLERICULTURA (FRUTOS E SEMENTES)"",""622305"""
"379,""TRABALHADOR NA OLERICULTURA (LEGUMES)"",""622310"""
"380,""TRABALHADOR NA OLERICULTURA (RAIZES, BULBOS E TUBE"",""622315"""
"381,""TRABALHADOR NA OLERICULTURA (TALOS, FOLHAS E FLORE"",""622320"""
"382,""TRABALHADOR NO CULTIVO DE FLORES E FOLHAGENS DE CO"",""622405"""
"383,""TRABALHADOR NO CULTIVO DE FLORES EM VASO"",""622410"""
"384,""TRABALHADOR NO CULTIVO DE FORRACOES"",""622415"""
"385,""TRABALHADOR NO CULTIVO DE MUDAS"",""622420"""
"386,""TRABALHADOR NO CULTIVO DE PLANTAS ORNAMENTAIS"",""622425"""
"387,""TRABALHADOR NO CULTIVO DE ARVORES FRUTIFERAS"",""622505"""
"388,""TRABALHADOR NO CULTIVO DE ESPECIES FRUTIFERAS RAST"",""622510"""
"389,""TRABALHADOR NO CULTIVO DE TREPADEIRAS FRUTIFERAS"",""622515"""
"390,""TRABALHADOR DA CULTURA DE CACAU"",""622605"""
"391,""TRABALHADOR DA CULTURA DE CAFE"",""622610"""
"392,""TRABALHADOR DA CULTURA DE ERVA-MATE"",""622615"""
"393,""TRABALHADOR DA CULTURA DE FUMO"",""622620"""
"394,""TRABALHADOR DA CULTURA DE GUARANA"",""622625"""
"395,""TRABALHADOR NA CULTURA DE AMENDOIM"",""622705"""
"396,""TRABALHADOR NA CULTURA DE CANOLA"",""622710"""
"397,""TRABALHADOR NA CULTURA DE COCO-DA-BAIA"",""622715"""
"398,""TRABALHADOR NA CULTURA DE DENDE"",""622720"""
"399,""TRABALHADOR NA CULTURA DE MAMONA"",""622725"""
"400,""TRABALHADOR NA CULTURA DE SOJA"",""622730"""
"401,""TRABALHADOR NA CULTURA DO GIRASSOL"",""622735"""
"402,""TRABALHADOR NA CULTURA DO LINHO"",""622740"""
"403,""TRABALHADOR DA CULTURA DE ESPECIARIAS"",""622805"""
"404,""TRABALHADOR DA CULTURA DE PLANTAS AROMATICAS E MED"",""622810"""
"405,""ADESTRADOR DE ANIMAIS"",""623005"""
"406,""INSEMINADOR"",""623010"""
"407,""TRABALHADOR DE PECUARIA POLIVALENTE"",""623015"""
"408,""TRATADOR DE ANIMAIS"",""623020"""
"409,""TRABALHADOR DA PECUARIA (ASININOS E MUARES)"",""623105"""
"410,""VENDEDOR DE COMERCIO VAREJISTA"",""521110"""
"411,""TRABALHADOR DA PECUARIA (BOVINOS CORTE)"",""623110"""
"412,""TRABALHADOR DA PECUARIA (BOVINOS LEITE)"",""623115"""
"413,""TRABALHADOR DA PECUARIA (BUBALINOS)"",""623120"""
"414,""TRABALHADOR DA PECUARIA (EQUINOS)"",""623125"""
"415,""TRABALHADOR DA CAPRINOCULTURA"",""623205"""
"416,""TRABALHADOR DA OVINOCULTURA"",""623210"""
"417,""TRABALHADOR DA SUINOCULTURA"",""623215"""
"418,""TRABALHADOR DA AVICULTURA DE CORTE"",""623305"""
"419,""TRABALHADOR DA AVICULTURA DE POSTURA"",""623310"""
"420,""OPERADOR DE INCUBADORA"",""623315"""
"421,""TRABALHADOR DA CUNICULTURA"",""623320"""
"422,""SEXADOR"",""623325"""
"423,""TRABALHADOR EM CRIATORIOS DE ANIMAIS PRODUTORES DE"",""623405"""
"424,""TRABALHADOR NA APICULTURA"",""623410"""
"425,""TRABALHADOR NA MINHOCULTURA"",""623415"""
"426,""TRABALHADOR NA SERICICULTURA"",""623420"""
"427,""SUPERVISOR DA AQUICULTURA"",""630105"""
"428,""SUPERVISOR DA AREA FLORESTAL"",""630110"""
"429,""CATADOR DE CARANGUEJOS E SIRIS"",""631005"""
"430,""CATADOR DE MARISCOS"",""631010"""
"431,""PESCADOR ARTESANAL DE LAGOSTAS"",""631015"""
"432,""PESCADOR ARTESANAL DE PEIXES E CAMAROES"",""631020"""
"433,""PESCADOR ARTESANAL DE AGUA DOCE"",""631105"""
"434,""PESCADOR PROFISSIONAL"",""631210"""
"435,""CRIADOR DE CAMAROES"",""631305"""
"436,""CRIADOR DE JACARES"",""631310"""
"437,""CRIADOR DE MEXILHOES"",""631315"""
"438,""CRIADOR DE OSTRAS"",""631320"""
"439,""CRIADOR DE PEIXES"",""631325"""
"440,""CRIADOR DE QUELONIOS"",""631330"""
"441,""CRIADOR DE RAS"",""631335"""
"442,""GELADOR INDUSTRIAL"",""631405"""
"443,""GELADOR PROFISSIONAL"",""631410"""
"444,""PROEIRO"",""631415"""
"445,""REDEIRO (PESCA)"",""631420"""
"446,""GUIA FLORESTAL"",""632005"""
"447,""RAIZEIRO"",""632010"""
"448,""VIVEIRISTA FLORESTAL"",""632015"""
"449,""CLASSIFICADOR DE TORAS"",""632105"""
"450,""CUBADOR DE MADEIRA"",""632110"""
